Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Part_Number,No_of_Reviews,Energy_Efficiency,Item_name,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1.5 tons,43 dB,,,,,,,,B01INHBFPK," 34,580.00",Samsung,,,3 Star Rating,"Samsung AR18KC3HDTR Split AC (1.5 Ton, 3 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","49,700.00",Remote Control,Brand Fulfilled,#652,"#6,23,538",Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC3HDTR-Split-Rating-Aluminium/dp/B01INHBFPK/ref=sr_1_379_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-379
,1.5 tons,43 dB,,,,,,,,B01INHBFPK," 34,580.00",Samsung,,,3 Star Rating,"Samsung AR18KC3HDTR Split AC (1.5 Ton, 3 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","49,700.00",Remote Control,Brand Fulfilled,#652,"#6,23,538",Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC3HDTR-Split-Rating-Aluminium/dp/B01INHBFPK/ref=sr_1_379/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-379
,1.5 tons,43 dB,"Excellent product ever seen .No noise pollution ,power saving ,immediate cooling ,appears as a prestigious item in the room ,various options in AC are very very useful .",Best AC in Range ...-VERY FAST COOLING-NO NOISE-EASY OPERATING,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,B01INHBFR8," 33,215.00",Samsung,,3 reviews,3 Star Rating,"Samsung AR18KC3JDMC Split AC (1.5 Ton, 3 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen","38,300.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,3.7 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC3JDMC-Split-Rating-Aluminium/dp/B01INHBFR8/ref=sr_1_378_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-378
,1.5 tons,43 dB,"Excellent product ever seen .No noise pollution ,power saving ,immediate cooling ,appears as a prestigious item in the room ,various options in AC are very very useful .",Best AC in Range ...-VERY FAST COOLING-NO NOISE-EASY OPERATING,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,B01INHBFR8," 33,215.00",Samsung,,3 reviews,3 Star Rating,"Samsung AR18KC3JDMC Split AC (1.5 Ton, 3 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen","38,300.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,3.7 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC3JDMC-Split-Rating-Aluminium/dp/B01INHBFR8/ref=sr_1_378/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-378
,1.5 tons,43 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,,,B01INHBFRS," 34,216.00",Samsung,,1 review,3 Star Rating,"Samsung AR18KC3HDWK Split AC (1.5 Ton, 3 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","39,500.00",Remote Control,Brand Fulfilled,,,Plain,,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC3HDWK-Split-Rating-Aluminium/dp/B01INHBFRS/ref=sr_1_377_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-377
,1.5 tons,43 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,,,B01INHBFRS," 34,216.00",Samsung,,1 review,3 Star Rating,"Samsung AR18KC3HDWK Split AC (1.5 Ton, 3 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","39,500.00",Remote Control,Brand Fulfilled,,,Plain,,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC3HDWK-Split-Rating-Aluminium/dp/B01INHBFRS/ref=sr_1_377/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-377
,1.5 tons,43 dB,,,,,,,,B01INHBFTG," 34,580.00",Samsung,,,3 Star Rating,"Samsung AR18KC3HDTP Split AC (1.5 Ton, 3 Star Rating, Lily Grey, Aluminium): Amazon.in: Home & Kitchen","39,900.00",Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC3HDTP-Split-Rating-Aluminium/dp/B01INHBFTG/ref=sr_1_376_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-376
,1.5 tons,43 dB,,,,,,,,B01INHBFTG," 34,580.00",Samsung,,,3 Star Rating,"Samsung AR18KC3HDTP Split AC (1.5 Ton, 3 Star Rating, Lily Grey, Aluminium): Amazon.in: Home & Kitchen","39,900.00",Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC3HDTP-Split-Rating-Aluminium/dp/B01INHBFTG/ref=sr_1_376/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-376
,1.5 tons,43 dB,,,,,,,,B01INHBFUA," 36,036.00",Samsung,,,3 Star Rating,"Samsung AR18KC3EDLW Split AC (1.5 Ton, 3 Star Rating, Refined Wine, Aluminium): Amazon.in: Home & Kitchen","41,600.00",Remote Control,Brand Fulfilled,,,Refined Wine,,Split,,,http://www.amazon.in/Samsung-AR18KC3EDLW-Rating-Refined-Aluminium/dp/B01INHBFUA/ref=sr_1_375_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-375
,1.5 tons,43 dB,,,,,,,,B01INHBFUA," 36,036.00",Samsung,,,3 Star Rating,"Samsung AR18KC3EDLW Split AC (1.5 Ton, 3 Star Rating, Refined Wine, Aluminium): Amazon.in: Home & Kitchen","41,600.00",Remote Control,Brand Fulfilled,,,Refined Wine,,Split,,,http://www.amazon.in/Samsung-AR18KC3EDLW-Rating-Refined-Aluminium/dp/B01INHBFUA/ref=sr_1_375/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-375
,1.5 tons,,nice,,,,,,,B01INHBKBY," 44,499.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KV5HBTQ Split AC (1.5 Ton, 5 Star Rating, Lily Blue): Amazon.in: Home & Kitchen","51,400.00",Remote Control,Brand Fulfilled,,,Lily Blue,,Split,5.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KV5HBTQ-Split-Star-Rating/dp/B01INHBKBY/ref=sr_1_374_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-374
,1.5 tons,,nice,,,,,,,B01INHBKBY," 44,499.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KV5HBTQ Split AC (1.5 Ton, 5 Star Rating, Lily Blue): Amazon.in: Home & Kitchen","51,400.00",Remote Control,Brand Fulfilled,,,Lily Blue,,Split,5.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KV5HBTQ-Split-Star-Rating/dp/B01INHBKBY/ref=sr_1_374/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-374
,1.5 tons,43 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,,,B01INHBKHS," 39,312.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KC5HDTR Split AC (1.5 Ton, 5 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","45,400.00",Remote Control,Brand Fulfilled,,,Grey,,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC5HDTR-Split-Rating-Aluminium/dp/B01INHBKHS/ref=sr_1_373_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-373
,1.5 tons,43 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,,,B01INHBKHS," 39,312.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KC5HDTR Split AC (1.5 Ton, 5 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","45,400.00",Remote Control,Brand Fulfilled,,,Grey,,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC5HDTR-Split-Rating-Aluminium/dp/B01INHBKHS/ref=sr_1_373/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-373
,1.5 tons,41 dB,I have just purchased this product. It provides effective coolling in the room size of 10*12*11.,Super product i loved it,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,B01INHBKN2," 44,499.00",Samsung,,6 reviews,5 Star Rating,"Samsung AR18KV5HBTR Split AC (1.5 Ton, 5 Star Rating, Blue, Aluminium): Amazon.in: Home & Kitchen","51,400.00",Remote Control,Brand Fulfilled,,,Blue,,Split,2.5 out of 5 stars,,http://www.amazon.in/Samsung-AR18KV5HBTR-Split-Rating-Aluminium/dp/B01INHBKN2/ref=sr_1_372_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-372
,1.5 tons,41 dB,I have just purchased this product. It provides effective coolling in the room size of 10*12*11.,Super product i loved it,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,B01INHBKN2," 44,499.00",Samsung,,6 reviews,5 Star Rating,"Samsung AR18KV5HBTR Split AC (1.5 Ton, 5 Star Rating, Blue, Aluminium): Amazon.in: Home & Kitchen","51,400.00",Remote Control,Brand Fulfilled,,,Blue,,Split,2.5 out of 5 stars,,http://www.amazon.in/Samsung-AR18KV5HBTR-Split-Rating-Aluminium/dp/B01INHBKN2/ref=sr_1_372/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-372
,1.5 tons,43 dB,It is a good product for buy and use,,,,,,,B01INHBKRS," 36,036.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KC5UDMC Split AC (1.5 Ton, 5 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen","41,600.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,4.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC5UDMC-Split-Rating-Aluminium/dp/B01INHBKRS/ref=sr_1_371_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-371
,1.5 tons,43 dB,It is a good product for buy and use,,,,,,,B01INHBKRS," 36,036.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KC5UDMC Split AC (1.5 Ton, 5 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen","41,600.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,4.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC5UDMC-Split-Rating-Aluminium/dp/B01INHBKRS/ref=sr_1_371/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-371
,1.5 tons,43 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,,,B01INHBLAY," 38,038.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KC5JDMC Split AC (1.5 Ton, 5 Star Rating, Blue Cosmo Strip): Amazon.in: Home & Kitchen","43,900.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC5JDMC-Split-Rating-Cosmo/dp/B01INHBLAY/ref=sr_1_369_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-369
,1.5 tons,43 dB,"Samsung AC purchased in Jan 2014, only used in summer, regularly serviced, still not working now and compressor and condensor both not working. Very bad products.",,,,,,,B01INHBLAY," 38,038.00",Samsung,,1 review,5 Star Rating,"Samsung AR18KC5JDMC Split AC (1.5 Ton, 5 Star Rating, Blue Cosmo Strip): Amazon.in: Home & Kitchen","43,900.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KC5JDMC-Split-Rating-Cosmo/dp/B01INHBLAY/ref=sr_1_369/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-369
,2 tons,42 dB,,,,,,,,B01INHBPYQ," 40,900.00",Samsung,,,2 Star Rating,"Samsung AR24FC2TAUR Split AC (2 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR24FC2TAUR-Split-Rating-White/dp/B01INHBPYQ/ref=sr_1_368/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-368
,1.5 tons,41 dB,,,,,,,,B01INHBQ2M," 51,870.00",Samsung,,,5 Star Rating,"Samsung AR18KV5NBWK Split AC (1.5 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","58,400.00",Remote Control,Brand Fulfilled,,,Plain,,Split,,,http://www.amazon.in/Samsung-AR18KV5NBWK-Split-Rating-Aluminium/dp/B01INHBQ2M/ref=sr_1_367_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-367
,1.5 tons,41 dB,,,,,,,,B01INHBQ2M," 51,870.00",Samsung,,,5 Star Rating,"Samsung AR18KV5NBWK Split AC (1.5 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","58,400.00",Remote Control,Brand Fulfilled,,,Plain,,Split,,,http://www.amazon.in/Samsung-AR18KV5NBWK-Split-Rating-Aluminium/dp/B01INHBQ2M/ref=sr_1_367/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-367
,1.5 tons,41 dB,Purchased one Samsung Air Conditioner -Model AR 18KV5HBWK during March 2016. Initial  10 days its functions were perfectly all right. Gradually electricity consumption started increasing and now it is almost double. Purchased from Defence Canteen. Many times contacted Samsung Customer Care. Also Canteen authorities. No result as on date. NEVER EXPECTED SUCH IRRESPONSIBLE APPROACH FROM A INTERNATIONAL BRAND. No shortage of calls from Customer Satisfaction Team.Fun is that with out clearing complaints getting SMS confirmation stating that Complaints have been cleared.Reason may be that it is a worst product and beyond repair. Finally moving to consumer Court. Not to buy this product at all.,,Main market se kharida price liya 40000/ 15 emi Kolkata great eastern trading co. se bahut badiya cooling hai hawa ka tez bahut zor hai Sabko kharidna chahiye,,,,,B01INHBQ90," 44,044.00",Samsung,,2 reviews,5 Star Rating,"Samsung AR18KV5HBWK Split AC (1.5 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","59,300.00",Remote Control,Brand Fulfilled,,,Plain,,Split,2.5 out of 5 stars,,http://www.amazon.in/Samsung-AR18KV5HBWK-Split-Rating-Aluminium/dp/B01INHBQ90/ref=sr_1_366_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-366
,1.5 tons,41 dB,Purchased one Samsung Air Conditioner -Model AR 18KV5HBWK during March 2016. Initial  10 days its functions were perfectly all right. Gradually electricity consumption started increasing and now it is almost double. Purchased from Defence Canteen. Many times contacted Samsung Customer Care. Also Canteen authorities. No result as on date. NEVER EXPECTED SUCH IRRESPONSIBLE APPROACH FROM A INTERNATIONAL BRAND. No shortage of calls from Customer Satisfaction Team.Fun is that with out clearing complaints getting SMS confirmation stating that Complaints have been cleared.Reason may be that it is a worst product and beyond repair. Finally moving to consumer Court. Not to buy this product at all.,,Main market se kharida price liya 40000/ 15 emi Kolkata great eastern trading co. se bahut badiya cooling hai hawa ka tez bahut zor hai Sabko kharidna chahiye,,,,,B01INHBQ90," 44,044.00",Samsung,,2 reviews,5 Star Rating,"Samsung AR18KV5HBWK Split AC (1.5 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","59,300.00",Remote Control,Brand Fulfilled,,,Plain,,Split,2.5 out of 5 stars,,http://www.amazon.in/Samsung-AR18KV5HBWK-Split-Rating-Aluminium/dp/B01INHBQ90/ref=sr_1_366/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-366
,1.7 tons,44 dB,,,,,,,,B01INHBW8A," 54,800.00",Samsung,,,5 Star Rating,"Samsung AR24JV5HBWK Split AC (1.7 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1860 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR24JV5HBWK-Split-Rating-White/dp/B01INHBW8A/ref=sr_1_365_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-365
,1.7 tons,44 dB,,,,,,,,B01INHBW8A," 54,800.00",Samsung,,,5 Star Rating,"Samsung AR24JV5HBWK Split AC (1.7 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1860 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR24JV5HBWK-Split-Rating-White/dp/B01INHBW8A/ref=sr_1_365/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-365
,2 tons,44 dB,,,,,,,,B01INHC0LS," 42,861.00",Samsung,,,3 Star Rating,"Samsung AR24KC3HATP Split AC (2 Ton, 3 Star Rating, Lily Grey, Aluminium): Amazon.in: Home & Kitchen","49,500.00",Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR24KC3HATP-Split-Rating-Aluminium/dp/B01INHC0LS/ref=sr_1_364_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-364
,2 tons,44 dB,,,,,,,,B01INHC0LS," 42,861.00",Samsung,,,3 Star Rating,"Samsung AR24KC3HATP Split AC (2 Ton, 3 Star Rating, Lily Grey, Aluminium): Amazon.in: Home & Kitchen","49,500.00",Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR24KC3HATP-Split-Rating-Aluminium/dp/B01INHC0LS/ref=sr_1_364/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-364
,2 tons,,,,,,,,,B01INHC108," 42,739.00",Samsung,,,2 Star Rating,"Samsung AR24KC2JAMC Split AC (2 Ton, 2 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen","47,100.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,,,http://www.amazon.in/Samsung-AR24KC2JAMC-Split-Rating-Aluminium/dp/B01INHC108/ref=sr_1_363_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-363
,2 tons,,,,,,,,,B01INHC108," 42,739.00",Samsung,,,2 Star Rating,"Samsung AR24KC2JAMC Split AC (2 Ton, 2 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen","47,100.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,,,http://www.amazon.in/Samsung-AR24KC2JAMC-Split-Rating-Aluminium/dp/B01INHC108/ref=sr_1_363/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-363
,1.7 tons,44 dB,,,,,,,,B01INHC1BC," 66,800.00",Samsung,,,5 Star Rating,"Samsung AR24JV5NBWK Split AC (1.7 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1710 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR24JV5NBWK-Split-Rating-White/dp/B01INHC1BC/ref=sr_1_362_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-362
,1.7 tons,44 dB,,,,,,,,B01INHC1BC," 66,800.00",Samsung,,,5 Star Rating,"Samsung AR24JV5NBWK Split AC (1.7 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1710 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR24JV5NBWK-Split-Rating-White/dp/B01INHC1BC/ref=sr_1_362/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-362
,2 tons,,,,,,,,,B01INHC64O," 59,150.00",Samsung,,,5 Star Rating,"Samsung AR24KV5NBWK Split AC (2 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","67,000.00",Remote Control,Brand Fulfilled,,,Plain,,Split,,,http://www.amazon.in/Samsung-AR24KV5NBWK-Split-Rating-Aluminium/dp/B01INHC64O/ref=sr_1_361_m/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-361
,2 tons,,,,,,,,,B01INHC64O," 59,150.00",Samsung,,,5 Star Rating,"Samsung AR24KV5NBWK Split AC (2 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","67,000.00",Remote Control,Brand Fulfilled,,,Plain,,Split,,,http://www.amazon.in/Samsung-AR24KV5NBWK-Split-Rating-Aluminium/dp/B01INHC64O/ref=sr_1_361/253-1017582-7885560?ie=UTF8&qid=1485032593&s=kitchen&sr=1-361
,2 tons,44 dB,,,,,,,,B01INHC6FI," 43,043.00",Samsung,,,3 Star Rating,"Samsung AR24KC3HATR Split AC (2 Ton, 3 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","49,700.00",Remote Control,Brand Fulfilled,,,Grey,,Split,,,http://www.amazon.in/Samsung-AR24KC3HATR-Split-Rating-Aluminium/dp/B01INHC6FI/ref=sr_1_360/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-360
,2 tons,44 dB,"Using last 1.5 months , cooling is excellent, Our room is 240 sqft, air flow is very good, we are using at 27 degree temp in kolkata whether.",,,,,,,B01INHC6K8," 51,415.00",Samsung,,1 review,5 Star Rating,"Samsung AR24KV5HBWK Split AC (2 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","59,300.00",Remote Control,Brand Fulfilled,,,Plain,,Split,5.0 out of 5 stars,,http://www.amazon.in/Samsung-AR24KV5HBWK-Split-Rating-Aluminium/dp/B01INHC6K8/ref=sr_1_359_m/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-359
,2 tons,44 dB,"Using last 1.5 months , cooling is excellent, Our room is 240 sqft, air flow is very good, we are using at 27 degree temp in kolkata whether.",,,,,,,B01INHC6K8," 51,415.00",Samsung,,1 review,5 Star Rating,"Samsung AR24KV5HBWK Split AC (2 Ton, 5 Star Rating, Plain, Aluminium): Amazon.in: Home & Kitchen","59,300.00",Remote Control,Brand Fulfilled,,,Plain,,Split,5.0 out of 5 stars,,http://www.amazon.in/Samsung-AR24KV5HBWK-Split-Rating-Aluminium/dp/B01INHC6K8/ref=sr_1_359/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-359
,1 tons,39 dB,,,,,,,,B01INIHFYE," 31,800.00",Samsung,,,3 Star Rating,"Samsung AR12JC3HBWK Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1090 Watts,Split,,,http://www.amazon.in/Samsung-AR12JC3HBWK-Split-Rating-White/dp/B01INIHFYE/ref=sr_1_358_m/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-358
,1 tons,39 dB,,,,,,,,B01INIHFYE," 31,800.00",Samsung,,,3 Star Rating,"Samsung AR12JC3HBWK Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1090 Watts,Split,,,http://www.amazon.in/Samsung-AR12JC3HBWK-Split-Rating-White/dp/B01INIHFYE/ref=sr_1_358/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-358
,1 tons,39 dB,nice product,,,,,,,B01INIHG1G," 27,600.00",Samsung,,1 review,2 Star Rating,"Samsung AR12HC2USNB Split AC (1 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1100 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR12HC2USNB-Split-Rating-White/dp/B01INIHG1G/ref=sr_1_357_m/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-357
,1 tons,39 dB,nice product,,,,,,,B01INIHG1G," 27,600.00",Samsung,,1 review,2 Star Rating,"Samsung AR12HC2USNB Split AC (1 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1100 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR12HC2USNB-Split-Rating-White/dp/B01INIHG1G/ref=sr_1_357/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-357
,1 tons,39 dB,good ac ... lots of function on remote...,,,,,,,B01INIHG3E," 27,700.00",Samsung,,1 review,2 Star Rating,"Samsung AR12JC2JAMV Split AC (1 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1090 Watts,Split,4.0 out of 5 stars,,http://www.amazon.in/Samsung-AR12JC2JAMV-Split-Rating-White/dp/B01INIHG3E/ref=sr_1_356_m/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-356
,1 tons,39 dB,good ac ... lots of function on remote...,,,,,,,B01INIHG3E," 27,700.00",Samsung,,1 review,2 Star Rating,"Samsung AR12JC2JAMV Split AC (1 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1090 Watts,Split,4.0 out of 5 stars,,http://www.amazon.in/Samsung-AR12JC2JAMV-Split-Rating-White/dp/B01INIHG3E/ref=sr_1_356/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-356
,1 tons,37 dB,I bought this product from local market. Products perfomance is not good. More over the after sale service of Samsung is very bad in my area (Jalandhar). You need to call customer care repeatedly for routine service or repair.Service engineer will not appear till you feel harassed for 4-5 days. Customer care executive will never tell the visiting charges of service engineer. There is no option for zero star otherwise I would have been given zero star for after sale service by Samsung.,,,,,,,B01INIHG9S," 30,900.00",Samsung,,1 review,3 Star Rating,"Samsung AR12HC3USNB Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1065 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR12HC3USNB-Split-Rating-White/dp/B01INIHG9S/ref=sr_1_355/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-355
,1 tons,39 dB,Never buy this product. I have had to service it 3 times in just 2 years and had to spend over 8000 rupees.,,,,,,,B01INIHGCU," 26,400.00",Samsung,,1 review,2 Star Rating,"Samsung AR12JC2USUQ Split AC (1 Ton, 2 Star Rating, India Green): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,India Green,1100 Watts,Split,1.0 out of 5 stars,,http://www.amazon.in/Samsung-AR12JC2USUQ-Split-Rating-India/dp/B01INIHGCU/ref=sr_1_354_m/255-1343973-5195351?ie=UTF8&qid=1485032591&s=kitchen&sr=1-354
