Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1 tons,49 dB,"Do NOT buy this AC. I bought this one 4 years ago. After only 3 seasons I have to throw it away. In last two years carrier has charged me over rs 10k, but they cannot fix it. Have paid 3k recently for gas and services. It stopped working after 1 day only and when I called them up to see, they said now coil is choked. So rather than struggling with it again and again I decided to throw it away and bought a new one (Lloyd). WORST product I ever bought. Total wastage of money.",Picture and product looks are different. Ac is very good.,ORDERED AC AND RECEIVED AC WERE DIFFERENT.,,,,,B00LSJ8MKW," 21,705.00",Carrier,"Carrier ESTRELLA NEO Window AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",3 reviews,3 Star Rating,CARRIER ESTRELLA NEO,"25,300.00",Remote Control,ESTRELLA,#32,"#19,241",White,,Window,2.3 out of 5 stars,230 Volts,http://www.amazon.in/Carrier-ESTRELLA-Window-Rating-White/dp/B00LSJ8MKW/ref=sr_1_119/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-119
,1 tons,42 dB,"machine faces sensor issues and water leaks.video con has lousiest customer support and rude underpaid staff.AVOID IT.Also their service guys will argue if u have purchased it online.though they clearly mark only oneecommerce  site name as warranty not supported on their website.I use this product its one yeal old n i want to throw it out.these acs by videocon electrolux and voltas are china manufactured rebranded ACsoverall the brands Name is enough to teach you what this brand practices in realVIDEO ""CON""",,Excellent Product..,,,,,B00WUF7PCE," 29,068.00",Videocon,"Videocon VSB35.WV1-MDA Split AC (1 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",2 reviews,5 Star Rating,,"34,990.00",Remote Control,VSB35.WV1-MDA,#216,"#2,31,453",White,998 Watts,Split,3.0 out of 5 stars,230 Volts,http://www.amazon.in/Videocon-VSB35-WV1-MDA-Split-Rating-White/dp/B00WUF7PCE/ref=sr_1_184/255-7393836-5549665?ie=UTF8&qid=1485079627&s=kitchen&sr=1-184
,1.5 tons,46 dB,"It is good from the power consumption point of view. It don't have all direction circulation. Only vertical circulation.  Further sound is considerable. So far not got the monthly bill to assess the power consumption.Design is not attractive. However, the cooling is fast. Like to recommend.",It is power full product and aslo amazing. 5 minutes in time room make very cool in 28 temperature. It performaning smuthly.,"I like this AC. Using it since 1 year. Many functions and as informed in other reviews, there isn't so much noise, you just have to choose proper place for your outdoor unit. cooling and comfort is great. Buy it",,when it is start it making lot of sound and it is coming like helicopter like sound and its operating system is to worst so dont buy this model and it is a failure model too,,,B00V30JX68," 42,400.00",Panasonic,"Panasonic CS-YS18RKY Inverter Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",4 reviews,Inverter,CS/CU-YS18RKY,,Remote Control,CS-YS18RKY,#168,"#1,78,736",White,1580 Watts,Split,3.5 out of 5 stars,230 Volts,http://www.amazon.in/Panasonic-CS-YS18RKY-Inverter-Split-Copper/dp/B00V30JX68/ref=sr_1_115/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-115
,1 tons,56 dB,"Very misguiding information and very rude amazon support for query straight forward said, ""if you are facing problem then you can go with other options."" Even i know i can go with other options but i expected solution to problem.",cools the room perfectly and very little noise..very happy with the purchase.,"By making such a wonderful product, Voltas has lived up to its reputation.  No more review required.","The product is very good, there was no problem in delivery and installation",It's cooling very well though takes some time to get started with the process,,,B00OPT52W8," 22,000.00",Voltas,"Voltas 122 LY Window AC (1 Ton, 2 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",9 reviews,2 Star Rating,122 LY,"22,390.00",Remote Control,122 LY,#110,"#1,15,373",White,1142 Watts,Window,3.7 out of 5 stars,240 Volts,http://www.amazon.in/Voltas-122-LY-Window-Aluminium/dp/B00OPT52W8/ref=sr_1_109/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-109
,1.5 tons,43 dB,,,,,,,,B00UV3W5IQ," 29,990.00",Lloyd,"Lloyd Natura LS19A3GR Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",5 reviews,3 Star Rating,,,Remote Control,LS19A3GR,#166,"#1,77,884",White,1521 Watts,Split,3.8 out of 5 stars,230 Volts,http://www.amazon.in/Lloyd-Natura-LS19A3GR-Split-Rating/dp/B00UV3W5IQ/ref=sr_1_108/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-108
,1 tons,48 dB,"Best 1 ton ac, cooling fast without noiseI used this for my 160sq.ft room. It consumes also less powerI suggest it to buy who need 1 ton",Words no1,Best ever 1ton ac,,Best performance,,,B00PVM6WT0," 30,000.00",Mitsubishi,"Mitsubishi MS-HK13VA Cooling Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",4 reviews,3 Star Rating,,"34,290.00",Remote Control,MS-HK13VA,#34,"#20,165",White,1050 Watts,Split,4.5 out of 5 stars,230 Volts,http://www.amazon.in/Mitsubishi-MS-HK13VA-Cooling-Split-Rating/dp/B00PVM6WT0/ref=sr_1_93/253-1610000-2851616?ie=UTF8&qid=1485079627&s=kitchen&sr=1-93
,1.5 tons,48 dB,"Nice Product.I ordered this on Amazon for 26700 with an additional cash back of 2000 while paying with HDFC debit card. Happy w.r.t to Price.Regarding the AC's performance, It is pretty decent and takes <10 mins to cool a 10*11 room.For the price paid it was nice deal.Thanks Amazon and the seller.!",Good product,Cooling is good.,,Nice Product...,,,B00LWRD5Q6," 29,900.00",Voltas,"Voltas 183 CY Classic Y Series Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",4 reviews,3 Star Rating,183CY,"33,287.00",Remote Control,1.5T 183 CY,#112,"#1,16,427",White,1555 Watts,Split,4.8 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-183-CY-Classic-Aluminium/dp/B00LWRD5Q6/ref=sr_1_110/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-110
,1.5 tons,43 dB,"Got it on amazon in a lighting deal for just 23K. Actual market price around 32K. Delivery took a lot of time.(Cannot complaint much about that,A usual Amazon thing).Hassle free installation. Decent cooling.A great buy at 23K","100% genuine .Right time delivery, new and original product. thanks amazon",The  Indoor Unit looks good.  However the Blower has an Air cutting noise .The out door Unit is definately noisy in operation compared to Carrier  and other Brands.,,,,,B00VE5CRNS," 30,275.00",Voltas,"Voltas 183CYA Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",6 reviews,3 Star Rating,,"38,490.00",Remote Control,183CYA,#113,"#1,18,646",White,,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-183CYA-Split-Rating-Copper/dp/B00VE5CRNS/ref=sr_1_114/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-114
,1 tons,38 dB,,,,,,,,B00O21HOB6," 23,504.00",Onida,"Onida S122FLT-L Split AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,,"27,390.00",Remote Control,S122FLT-L,#173,"#1,82,453",White,1140 Watts,Split,,230 Volts,http://www.amazon.in/Onida-S122FLT-L-Split-Rating-Copper/dp/B00O21HOB6/ref=sr_1_112/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-112
,0.75 tons,39 dB,Bought Daikin split AC from local retailer. Don't know about the AC yet but can tell you about the service from Daikin. After raising a request and giving time slot for installation I waited for whole day and even after so many calls no one came for installation. Pathetic service by Daikin. Whole day wasted. Will never buy a Daikin product again.,,,,,,,B013UCHMP0," 24,800.00",Daikin,"Daikin R-32 DTC Series Split AC (0.75 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",1 review,3 Star Rating,,"27,800.00",Remote Control,DTC25QRV16,#163,"#1,76,296",White,770 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Daikin-R-32-Split-Rating-White/dp/B013UCHMP0/ref=sr_1_104/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-104
,1 tons,37 dB,very bad productthird class service,Exellent,coolservicees banglore services unit good,,,,,B01BM8523S," 24,990.00",Hyundai,"Hyundai HSE33.GR1-QGE Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",3 reviews,3 Star Rating,963,,Remote Control,HSE33.GR1-QGE,#107,"#1,11,869",White,3250 Watts,Split,3.3 out of 5 stars,230 Volts,http://www.amazon.in/Hyundai-HSE33-GR1-QGE-Split-Rating-Copper/dp/B01BM8523S/ref=sr_1_103/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-103
,1 tons,40 dB,Product arrived in good condition. Installed by professionals. Working fine now.,"WORST SERVICE BY VOLTAS. AFTER LOT OF FOLLOW UP ON TOLL FREE NUMBER, NO RESPONSE FOR INSTALLATION. I AM THINKING FOR RETURNING THIS AC NOW.",I ordered 123cya but as it was not available I received 123dya which is similar to it. The cooling of the ac is very good n quick but the  indoor unit is small n doesn't look like a 1 ton indoor unit. I received the ac after a week so that was a problem. Overall good ac as the cooling is what matters at the end.,,,,,B00LWRD79Q," 26,000.00",Voltas,"Voltas 123 Cya Classic Ya Series Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",6 reviews,3 Star Rating,123 CYa,"33,090.00",Remote Control,1.0 T 123 Cya,#48,"#33,127",White,1028 Watts,Split,3.7 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-123-Cya-Classic-Rating/dp/B00LWRD79Q/ref=sr_1_105/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-105
,1.5 tons,33 dB,"HITACHI's authorised installation engineers misbehaved, manhandled, and verbally abused me on asking for an identity card. And they ran away without giving me bill for the payment I made. Afterwards in the evening 21st April 2016 the same day it all happened, me and my father are getting abusive and threatening calls from the Hitachi's authorised engineer.His name is SULEMANPhone no. 90-15-266934After being physically and verbally abused the HITACHI's engineer is now threatening me on phone. And after so many complaints hitachi is not taking any action they just said that they do not provide direct customer service it's an third party company. And yes offcourse a third class company. You can look at the photo and make out how classy these guys are.",Bad quality. The worst customer care ever. Took 2 weeks to come for installation even though it was paid. Leaked the gas due to installation mistakes. Then took 1 month to accept and come for its repair. Did not repair and took another 1 month to come again. Still not repaired. Rude customer care and very unhelpful.,I bought this Ac from croma on 2nd April 2016.Hitachi installation is don't by very cheap unprofessional people. They are not technician very unskilled.After installation immediately water leakage started. Hitachi call center number never picks up the call.. Very bad.. Disappointed..0 rating.. What's the use of Iclean feature if basic ac is not working properly.,"We have been using this ac for just one day. So, I can't really comment on reliability of the ac. But, the out of the box performance of the ac is pretty good. Basic cooling functionality seems to be quite decent even for a fairly large room of 10ft by 25ft.I was scared of the installation bungles after reading majority of the 1 star reviews. However, we had no trouble in scheduling the installation of the AC. The two folks who installed the ac worked diligently and carefully to leave us with a professional looking installation contrary to reports from other folks. This is our second Hitachi AC purchase and on both occasions, the installation team was great.",Worst possible Service Center anyone would have encountered ever. No installation support and Amazon is as helpless as it can get. Amazon should not sell products for companies like Hitachi - since this ends up in a bad review for both.Very strongly recommend to stay away from Hitachi.,,,B00UWQQKNS," 41,180.00",Hitachi,"Hitachi RAU518AVD Split AC ( 1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",9 reviews,5 Star Rating,,"47,190.00",Remote Control,RAU518AVD,#31,"#18,806",White,1485 Watts,Split,1.9 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU518AVD-Split-Rating-Copper/dp/B00UWQQKNS/ref=sr_1_106/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-106
,1.5 tons,42 dB,"I purchased same model at lower price including installation, stabliser and stand from coolex chandigarh.",,Nice product,,,,,B00NKYNI4S," 34,475.00",Blue Star,"Blue Star 3HW18VC1 Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",2 reviews,3 Star Rating,3HW18VC1,,Remote Control,3HW18VC1,#184,"#1,97,573",White,1595 Watts,Split,3.0 out of 5 stars,230 Volts,http://www.amazon.in/Blue-Star-3HW18VC1-Rating-Copper/dp/B00NKYNI4S/ref=sr_1_173/255-7393836-5549665?ie=UTF8&qid=1485079627&s=kitchen&sr=1-173
,0.75 tons,44 dB,,,,,,,,B00PVM4XF0," 30,000.00",Mitsubishi,"Mitsubishi MS-GK10VA Cooling Split AC (0.75 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,5 Star Rating,,"33,270.00",Remote Control,MS-GK10VA,#157,"#1,66,602",White,740 Watts,Split,,230 Volts,http://www.amazon.in/Mitsubishi-MS-GK10VA-Cooling-Split-Rating/dp/B00PVM4XF0/ref=sr_1_111/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-111
,1 tons,38 dB,"Bought it from KCC shops (Vivek) Chennai through Amazon. A good shopping experience.1. Seller: I requested KCC to supply the AC on weekends. They honoured my request.2. Delivery : AS expected.3. Installation: There was a arrangement failure in the starting, but things were sorted out later.4. Product :Color : Red colour is really misleading. Actually this is dark Maroon or Burgundy types. Looks better than average ACs.Operation: Very silent and working perfectly.Features: Quite feature rich, all kinds of filters, fungus proof n all.5. Value : Total value for money in INR 25.6 K.Total ownership cost : INR 31.5 K (including INR 2.5 K of installation, INR 1.7 K for stabilizer and INR 500 for socket board) . The cost is without the cashback, as I have still not received the INR 2.5 K cashback from Amazon.","AC is really awesome, my room 10x10 and it's freezing in 30 mins. Better for a small room :)","Big catch as far installation goes. They say the standard installation is 1500 but the charge for installation is almost 3000 rs as they do not give the bracket or water pipe which is mandatory for any installation. Wrong selling by Voltas. Pls be careful while buying offline or online.  I would say avoid Voltas products. I have other two AC by sharp and all brackets, pipes everything is covered in 1500.",,Amazing the color is dark not red went well with my room decor.. Amazing cooling,,,B00LWREP9C," 27,590.00",Voltas,"Voltas 123 PYa-R Premium Ya R Series Split AC (1 Ton, 3 Star Rating, Red, Copper): Amazon.in: Home & Kitchen",4 reviews,3 Star Rating,123 PYa-R,"34,790.00",Remote Control,1.0 T 123 PYa-R,#125,"#1,31,566",Red,1141 Watts,Split,4.3 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-123-PYa-R-Premium-Rating/dp/B00LWREP9C/ref=sr_1_113/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-113
,1.5 tons,46 dB,Cools with amazing efficiency. But stop start is abrupt. Also change of temperature between 25 and 26 degrees is very abrupt. 26 is very hot and 25 is quite but not intolerably cold. Also noisy when it starts after a halt.,It's a great experience to have this product ...,Good Product.,"If light goes and after some time and current come,wether Ac works automatically or we have to get up and to push the start button from remote ??",Crispy cooling... A product one must consider while shortlisting,,,B00LHO9RW0," 34,600.00",Hitachi,"Hitachi RAT518HUD Summer TM Window AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",5 reviews,5 Star Rating,,"38,790.00",Remote Control,RAT518HUD,#137,"#1,37,681",White,1575 Watts,Window,4.4 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAT518HUD-Summer-Window-Rating/dp/B00LHO9RW0/ref=sr_1_107/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-107
,1 tons,,Ordered this AC on 25/10 10am & got delivery on 26/10 3pm. Installation completed  by hitachi technician on 26/10 6pm. Wow what a fast service..!!!  Found cooling of this device very nice. Bought at effective price 22200 only. What more one can expect.,I like it. Got what I bought. Nothing to write home about though. Very expensive installation.,"Good Product till now, no issues.Got it very cheap, if i get 2K cash back from HDFC then it will cost me 22500.A split AC of Hitach worth this amount is good.",,Yes Hitachi charging too high for installation...I paid around 2250 rs and I feel noise level is bit high for this ac if u compare it with other split ac's,,,B00LHOAGC0," 31,890.00",Hitachi,"Hitachi RAU312HUDD Kampa Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",7 reviews,3 Star Rating,EA11,"33,890.00",Remote Control,RAU312HUDD,#106,"#1,08,798",White,1030 Watts,Split,3.9 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU312HUDD-Kampa-Rating-Copper/dp/B00LHOAGC0/ref=sr_1_101/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-101
,1.5 tons,,"I bought this ac just yesterday hence it is a bit too early to give any comments on its actual working. Stated to be one of the most energy efficient acs available in the market. In trial run, it did cool my 15x14 bed room in about 10 minutes. Looks pretty cool, indoor unit is compact, and the remote is a treat. Only con is the price... even at Rs. 38400 is a bit on the pricier side. 4 star is only because I am yet to really try it out. Will post after the summer trial is over.",,Pls dont buy this ac. I buy this 3 ac unit and after 1 year the warranty ends up and all ac is start giving problem. Secondly the service provider of godrej company is too rude and nonsense people they dont know how to talk with customers. Third thing is godrej company provides very costly equipment at time of service. So i recommended that pls dont buy this product its indian company but quality they provide is worst and all ac condensor system is aluminum system.,,,,,B00XXQQOX0," 54,290.00",Godrej,"Godrej GSC 18 FG 8 MOG Split AC (1.5 Ton, 5 Star Rating, Black, Aluminium): Amazon.in: Home & Kitchen",2 reviews,5 Star Rating,GSC 18 FG 8 MOG,,Remote Control,GSC 18 FG 8 MOG,#193,"#2,02,547",Black,1258 Watts,Split,2.5 out of 5 stars,230 Volts,http://www.amazon.in/Godrej-GSC-18-FG-MOG/dp/B00XXQQOX0/ref=sr_1_167/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-167
,1 tons,50 dB,I have used for a little over a month now. Cools the room fast. Atleast in the first month of running doesn't seem like it's a drain on electricity...I had read some reviews about the unit making a lot of sound.. Obviously it makes more noise than split AC but I think it's not very noisy compared to most other Window AC.Service from both amazon and hitachi for installation was prompt ....,Soooper Windows AC,"I had order this product & shipped with in time the producy quality is good & no voice while start, so definetly i refer to buy this product2016 manufacture product & latest model",,Quality product by Hitachi. Package was delivered within stipulated time. Definitely refer to buy this product. Less noise with high chilling capacity.,,,B00LHO9XKQ," 22,180.00",Hitachi,"Hitachi RAW311KUD Kaze Plus Window AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",4 reviews,3 Star Rating,,,Remote Control,RAW311KUD,#104,"#1,05,725",White,1132 Watts,Window,4.8 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAW311KUD-Window-Rating-Copper/dp/B00LHO9XKQ/ref=sr_1_97/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-97
,1.5 tons,42 dB,,,,,,,,B00LWRESKS," 41,200.00",Voltas,"Voltas 18V DY DC Inverter Y Series Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",4 reviews,Inverter,18V DY,"62,180.00",Remote Control,1.5T 18V DY,#180,"#1,90,503",White,1600 Watts,Split,2.0 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-18V-DY-Inverter-Rating/dp/B00LWRESKS/ref=sr_1_164/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-164
,1.5 tons,,"Summary:+ Great cooling effect. Compressor switches on pretty soon to experience cool air almost instantly(within less than a minute).+ I have 3 hitachi A/Cs at home and they have been running without any issues ( I haven't even put AMC trusting on the ACs ).- Expect to spend atleast around 6,000-8,000 INR more after you purchase this A/C for getting the stabilizer and the installations.* I ordered the AC at Amazon for ~43,000 INR ( I got 5,000 INR as gift card, so, eventually, I am paying only 38,000 INR ). Awesome ordering experience from Amazon.* Note that the AC doesn't come with stabilizer. So, I need to spend ~3.6k for the stabilizer ( bought it from an offline store ).* The installation is not free of cost. The cost of installation varies primarily with the distance of the 'outdoor unit' from the place where you fit the A/C inside the room. Overall, I spent close to 4,000 INR for the installation ( including the materials ).Summary, I spent 43K-5K+3.6K+4K = 45.6K for getting the AC completely installed at my home. I still believe this is a good deal from Amazon, but I hadn't gone out to dealers to verify.One more thing. The Seller was Viveks. The seller was very very prompt, he called me to provide regular updates and even shipped the product the next day itself!I am reducing one star because of the following: Amazon.in website said that it couldn't ship the item to my home(600096). So, I tried to ship it to my relatives place(600092) where it allowed me to order the product. When Viveks called me, I told them my house address and they were actually able to ship it to my house itself. AMAZON, please take care of updating the systems to make the product available at a larger scale.",Excellent service. Good product.,When it will available in Kolkata 700060,,,,,B00LHOAALM," 43,880.50",Hitachi,"Hitachi RAU518HUD Ace Cutout Split AC (1.5 Ton, 5 Star Rating, Whie, Copper): Amazon.in: Home & Kitchen",3 reviews,5 Star Rating,,,Remote Control,RAU518HUD,#181,"#1,92,910",Whie,1448 Watts,Split,4.7 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU518HUD-Cutout-Rating-Copper/dp/B00LHOAALM/ref=sr_1_165/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-165
,1 tons,56 dB,Pathetic service by voltas! If there is a choice buy LG or anything else!,Just got the new voltas ac fixed in the room. Ac cools well but make a lot of noise and can be disturbing especially at night. Hope we knew about it before would not have opted for Voltas. As previously was using a LG and was very silent.,Its value for money.Performance is good.Its good for bedroom.,,Its good... at this price range...,,,B00RJOSMQY," 20,099.00",Voltas,"Voltas 122LYi Window AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",7 reviews,2 Star Rating,,"22,390.00",Remote Control,WAC 122LYi,#105,"#1,08,461",White,1142 Watts,Window,3.3 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-122LYi-Window-Rating-Copper/dp/B00RJOSMQY/ref=sr_1_99/254-1600645-2398533?ie=UTF8&qid=1485079627&s=kitchen&sr=1-99
,1 tons,36 dB,"Very nice Ac, super cooling. I got it the next day I ordered. LG service guys came to install soon,everything was really smooth.",,C good,,,,,B00TZMSXVM," 24,700.00",LG,"LG LSA3NP2A L-Nova Plus Split AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",2 reviews,2 Star Rating,LSA3NP2A,"30,990.00",,LSA3NP2A,#177,"#1,88,314",White,1046 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA3NP2A-L-Nova-Rating-Copper/dp/B00TZMSXVM/ref=sr_1_160/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-160
,1.7 tons,,,,,,,,,B01BSNSG3K,,Hitachi,"Hitachi RAU520AVD Zunoh Split AC (1.7 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,"52,290.00",Remote Control,RAU520AVD,#271,"#2,74,859",White,,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU520AVD-Zunoh-Rating-Copper/dp/B01BSNSG3K/ref=sr_1_157/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-157
,2 tons,47 dB,"Works perfectly, v.good cooling. We bought this for the HALL, it cools 25 by 14ft hall in 4-5 minutes & conserves power once set temperature is achieved. It shows power consumption as 100% initially, after some tine it changes to 80% --> 60% ---> 40%.You don't need to turn off Ac because its only consuming 40% power from then onwards = fan.Best buy till date. Panasonic ROCKS!",,,,,,,B00V30K1LY," 49,500.00",Panasonic,"Panasonic CS-YS24RKY Inverter Split AC (2 Ton, White, Copper): Amazon.in: Home & Kitchen",1 review,Inverter,CS/CU-YS24RKY,,Remote Control,CS-YS24RKY,#76,"#67,363",White,1950 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Panasonic-CS-YS24RKY-Inverter-Split-Copper/dp/B00V30K1LY/ref=sr_1_48/254-3833579-0934825?ie=UTF8&qid=1485079627&s=kitchen&sr=1-48
,1.5 tons,50 dB,Gas leaked in the first month itself. Don't buy this AC. Nightmare!,,2 Lac for this AC. What a joke.,,,,,B00LHO9ZH2," 24,800.00",Hitachi,"Hitachi RAW218KUD Kaze Plus Window AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",2 reviews,2 Star Rating,,,Remote Control,RAW218KUD,#202,"#2,13,500",White,1785 Watts,Window,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAW218KUD-Window-Rating-Copper/dp/B00LHO9ZH2/ref=sr_1_150/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-150
,1 tons,,,,,,,,,B01LX92Z0V,,Kenstar,"Kenstar KSM35.WN1-MDA/QDL/ Split AC (1 Ton, 5 Star Rating, White) with 1+1 year Extended Warranty Free: Amazon.in: Home & Kitchen",58 reviews,5 Star Rating,,"22,490.00",Remote Control,KSM35.WN1-MDA/QDL,#1,#989,White,995 Watts,Split,3.4 out of 5 stars,230 Volts,http://www.amazon.in/Kenstar-KSM35-WN1-MDA-QDL-Extended-Warranty/dp/B01LX92Z0V/ref=sr_1_1/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-1
,1.5 tons,45 dB,"Product is great (this is 3rd same AC in my home)...installation service is pathetic by Mitsubishi..even Amazon can't help here (I called for their help)..So, although a great product..but if by any chance it stops working..be ready to face hell of a time with Mitsubishi service...","I had bought this from the local dealer at Hyderabad in March 2016, not from Amazon. This was my third a/c and it's the best by far. Quality of components used, pipes, fan, indoor unit, everything is of excellent quality. It very power efficient even though it's only 3 star. I am loving it so far. If I ever buy a 4th one it will be Mistubishi for sure. Hope they don't bump up the price by then.","we purchased a mitsubishi air conditioner 1 ton model MS/MUGK13GK from AC'SS Barrackpore, Kolkata-700122 on 20/04/2016. The ac malfunctioned from the date of installation and did not give any cooling effect. On reporting it to the dealer they said that the gas pressure has reduced and increased gas pressure. but this did not make any difference and they took away the indoor unit for inspection by mitsubishi personnel. they reinstalled but the problem persisted. now they said that the problem is with the outdoor unit and took it away promising to replace the outdoor unit. It is almost a month that ispite of making payment, the ac has not been delivered.i do not think a brand like this should be so unprofessional. i never wanted a mitsubishi a.c installed at the first place but fell for the dealer's words. now i have been made to pay a severe price.",Awesome and quick cooling. I am loving it.,Mitibuishi and O Genral Ac are manufactured in Thailand imported in india i have o genral ac in my home and they are brilliant i buy Mitbuishi split ac after using it for almost 4 months its good but not excellent if you compare with O Genral they are far ahead.....,"Really awasom cooling ,very less noise ,this is my first preference, comparing to other",AMAZing product. I have used multiple brands of ACs and by far Mitsubishi is the best. And by some margin. The cooling is quick and uniform. My advice to the people looking to buy this is to consider the 1T varaiant. The room I have installed this in is ~150sqft. This works like a 2T AC !!,B00PVM73NO," 36,200.00",Mitsubishi,"Mitsubishi MS-H18VA Cooling Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",13 reviews,3 Star Rating,,"36,999.00",Remote Control,MS-H18VA,#160,"#1,71,016",White,1480 Watts,Split,4.6 out of 5 stars,230 Volts,http://www.amazon.in/Mitsubishi-MS-H18VA-Cooling-Split-Rating/dp/B00PVM73NO/ref=sr_1_147/254-1923933-2335556?ie=UTF8&qid=1485079627&s=kitchen&sr=1-147
,1 tons,35 dB,,,,,,,,B00TZMT212," 23,900.00",LG,"LG LSA3NP3A L-Nova Plus Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",25 reviews,3 Star Rating,LG LSA 3NP3A,"32,990.00",,LSA3NP3A,#22,"#12,831",White,1070 Watts,Split,3.1 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA3NP3A-L-Nova-Rating-Aluminium/dp/B00TZMT212/ref=sr_1_39/254-3833579-0934825?ie=UTF8&qid=1485079627&s=kitchen&sr=1-39
